Fecha,Nombre_Material,Cantidad_kg,Nombre_Categoria,Operador_logistíco,Sede
2016-01-28,Plástico,326,Plásticos,Recuperar,
2016-01-28,Aluminio,24,Metales,Recuperar,
2016-01-28,Palos de Escoba,0,Otros,Recuperar,
2016-01-28,Plega,114,Papeles y Cartones,Recuperar,
2016-01-28,Plega,48,Plásticos,Recuperar,
2016-01-28,Archivo,2409,Papeles y Cartones,Recuperar,
2016-01-28,Plega,27,Papeles y Cartones,Recuperar,
2016-01-28,Periódico,372,Papeles y Cartones,Recuperar,
2016-01-28,Cartón,858,Papeles y Cartones,Recuperar,
2016-01-28,Chatarra,3230,Metales,Recuperar,
2016-01-28,Vidrio,1072,Vidrios,Recuperar,
2016-01-28,Pasta,529,Plásticos,Recuperar,
2016-02-28,Archivo,2618,Papeles y Cartones,Recuperar,
2016-02-28,Plega,242,Plásticos,Recuperar,
2016-02-28,Palos de Escoba,104,Otros,Recuperar,
2016-02-28,Plega,66,Papeles y Cartones,Recuperar,
2016-02-28,Plástico,167,Plásticos,Recuperar,
2016-02-28,Cartón,1759,Papeles y Cartones,Recuperar,
2016-02-28,Chatarra,3092,Metales,Recuperar,
2016-02-28,Periódico,814,Papeles y Cartones,Recuperar,
2016-02-28,Plega,199,Papeles y Cartones,Recuperar,
2016-02-28,Vidrio,1109,Vidrios,Recuperar,
2016-02-28,Pasta,1304,Plásticos,Recuperar,
2016-02-28,Aluminio,13,Metales,Recuperar,
2016-03-28,Aluminio,11,Metales,Recuperar,
2016-03-28,Archivo,1000,Papeles y Cartones,Recuperar,
2016-03-28,Periódico,284,Papeles y Cartones,Recuperar,
2016-03-28,Plega,22,Papeles y Cartones,Recuperar,
2016-03-28,Vidrio,436,Vidrios,Recuperar,
2016-03-28,Chatarra,87,Metales,Recuperar,
2016-03-28,Pasta,789,Plásticos,Recuperar,
2016-03-28,Plega,132,Papeles y Cartones,Recuperar,
2016-03-28,Plega,165,Plásticos,Recuperar,
2016-03-28,Plástico,132,Plásticos,Recuperar,
2016-03-28,Cartón,831,Papeles y Cartones,Recuperar,
2016-03-28,Palos de Escoba,0,Otros,Recuperar,
2016-04-28,Cartón,1180,Papeles y Cartones,Recuperar,
2016-04-28,Periódico,910,Papeles y Cartones,Recuperar,
2016-04-28,Plega,118,Papeles y Cartones,Recuperar,
