Fecha,Nombre_Material,Cantidad_kg,Operador_logistíco,Sede
2022-03-28,Reciclaje,5,,San Pablo
2022-04-28,Reciclaje,"7,86",,San Pablo
2022-05-28,Reciclaje,"13,27",,San Pablo
2022-06-28,Reciclaje,7,,San Pablo
2022-03-28,Reciclaje,9,,Cotove
2022-04-28,Reciclaje,24,,Cotove
2022-05-28,Reciclaje,"18,5",,Cotove
2022-06-28,Reciclaje,19,,Cotove
2022-07-28,Reciclaje,"8,35",,Cotove
2022-08-28,Reciclaje,18,,Cotove
2022-09-28,Reciclaje,27,,Cotove
2022-10-28,Reciclaje,"17,5",,Cotove
2022-11-28,Reciclaje,"15,8",,Cotove
2022-10-28,Reciclaje,21,,Paysandu
2022-11-28,Reciclaje,29,,Paysandu
